invoice_id,client_id,due_date,paid_date,amount
INV00001,C001,2020-01-28,2020-02-11,4778.94
INV00002,C002,2020-01-26,2020-02-14,611.2
INV00003,C003,2019-12-04,2020-01-09,943.96
INV00004,C003,2019-11-30,2020-01-13,1415.94
INV00005,C004,2019-12-11,2020-01-24,9425.9
INV00006,C005,2019-12-29,2020-01-11,5888.4
INV00007,C006,2019-12-28,2020-01-30,9994.56
INV00008,C007,2020-01-23,2020-01-30,541.91
INV00009,C007,2020-01-18,2020-02-03,812.86
INV00010,C008,2019-12-22,2020-01-16,8507.65
INV00011,C009,2019-12-09,2020-01-03,10249.56
INV00012,C010,2020-01-10,2020-02-01,5992.69
INV00013,C011,2020-01-09,2020-01-23,1461.42
INV00014,C011,2020-01-07,2020-01-27,2192.13
INV00015,C013,2019-12-13,2020-01-04,1836.35
INV00016,C014,2020-02-05,2020-02-15,5587.04
INV00017,C015,2019-12-12,2020-01-20,4144.45
INV00018,C018,2019-12-19,2020-01-31,8834.32
INV00019,C019,2019-12-19,2020-01-09,5397.45
INV00020,C019,2019-11-29,2020-01-13,8096.18
INV00021,C020,2019-12-23,2020-01-31,1414.08
INV00022,C021,2019-12-27,2020-02-09,8821.95
INV00023,C023,2020-01-19,2020-02-14,8517.01
INV00024,C024,2020-01-08,2020-02-12,6895.57
INV00025,C026,2020-01-07,2020-02-09,5988.59
INV00026,C029,2020-02-06,2020-02-15,3808.75
INV00027,C030,2019-12-31,2020-01-31,3993.53
INV00028,C032,2020-01-23,2020-02-14,4796.02
INV00029,C033,2019-12-25,2020-01-05,2659.14
INV00030,C033,2020-01-02,2020-01-09,3988.71
INV00031,C035,2020-01-06,2020-02-05,10729.85
INV00032,C036,2020-01-01,2020-01-13,3805.79
INV00033,C037,2019-12-18,2020-01-02,6100.36
INV00034,C039,2019-12-18,2020-01-04,13935.11
INV00035,C042,2019-12-25,2020-01-02,10530.87
INV00036,C042,2019-11-30,2020-01-02,10530.87
INV00037,C043,2019-12-31,2020-02-11,5142.32
INV00038,C045,2020-01-14,2020-02-12,1642.18
INV00039,C046,2019-12-17,2020-01-22,8176.12
INV00040,C049,2020-01-08,2020-02-12,4778.36
INV00041,C049,2020-01-28,2020-02-16,7167.54
INV00042,C053,2019-12-12,2020-01-10,3646.38
INV00043,C054,2020-01-02,2020-01-18,4513.06
INV00044,C054,2019-12-27,2020-01-22,6769.59
INV00045,C059,2020-01-12,2020-02-03,3310.91
INV00046,C062,2019-11-30,2020-01-07,7545.07
INV00047,C063,2019-12-12,2020-01-06,6204.86
INV00048,C064,2019-12-21,2020-01-22,1380.08
INV00049,C072,2020-01-04,2020-02-11,16271.21
INV00050,C073,2019-12-26,2020-01-14,6057.28
INV00051,C074,2019-12-24,2020-02-02,6284.37
INV00052,C075,2020-01-05,2020-01-20,3855.46
INV00053,C078,2020-01-11,2020-02-03,1490.29
INV00054,C079,2020-01-14,2020-02-14,4270.17
INV00055,C079,2020-02-10,2020-02-18,6405.25
INV00056,C081,2019-12-12,2020-01-17,9523.82
INV00057,C082,2019-12-10,2020-01-23,15740.62
INV00058,C087,2019-12-10,2020-01-17,331.06
INV00059,C095,2019-12-30,2020-01-12,4575.67
INV00060,C099,2019-12-01,2020-01-05,9638.42
INV00061,C001,2020-02-06,2020-03-11,4853.08
INV00062,C002,2020-02-01,2020-02-24,575.72
INV00063,C003,2020-01-01,2020-02-06,2178.38
INV00064,C004,2020-02-29,2020-03-17,8950.26
INV00065,C005,2020-01-24,2020-02-12,6178.58
INV00066,C006,2020-01-23,2020-03-03,9793.28
INV00067,C007,2020-02-23,2020-03-07,1435.42
INV00068,C008,2020-02-10,2020-02-26,8159.45
INV00069,C009,2020-02-04,2020-03-07,10490.37
INV00070,C012,2020-01-05,2020-02-11,5379.02
INV00071,C012,2020-01-12,2020-02-15,8068.53
INV00072,C014,2020-01-21,2020-02-24,2508.21
INV00073,C014,2020-01-15,2020-02-28,3762.32
INV00074,C015,2020-02-28,2020-03-14,2197.56
INV00075,C016,2020-01-20,2020-02-27,9423.56
INV00076,C020,2020-01-22,2020-02-25,1315.14
INV00077,C023,2020-01-30,2020-02-28,4964.88
INV00078,C023,2020-01-18,2020-03-03,7447.32
INV00079,C024,2020-02-15,2020-02-29,4040.75
INV00080,C024,2020-02-24,2020-03-04,6061.13
INV00081,C026,2020-02-14,2020-02-28,8408.17
INV00082,C028,2020-02-27,2020-03-12,1936.53
INV00083,C029,2020-02-14,2020-02-28,2321.73
INV00084,C029,2020-02-05,2020-03-03,3482.6
INV00085,C031,2020-01-24,2020-02-09,1396.38
INV00086,C033,2020-01-25,2020-02-24,13457.46
INV00087,C033,2020-01-18,2020-02-24,13457.46
INV00088,C034,2020-02-26,2020-03-11,6960.06
INV00089,C035,2020-01-08,2020-02-22,13329.84
INV00090,C036,2020-01-20,2020-02-14,3553.54
INV00091,C037,2020-01-29,2020-03-03,11617.93
INV00092,C039,2020-02-12,2020-02-28,8582.3
INV00093,C043,2019-12-24,2020-02-06,3547.61
INV00094,C046,2020-01-19,2020-03-02,3191.42
INV00095,C046,2020-02-23,2020-03-06,4787.13
INV00096,C046,2020-01-20,2020-03-02,7978.54
INV00097,C048,2020-02-09,2020-03-01,5442.95
INV00098,C048,2020-02-06,2020-03-05,8164.42
INV00099,C050,2020-01-13,2020-02-17,489.62
INV00100,C050,2020-01-09,2020-02-21,734.42
INV00101,C050,2020-01-12,2020-02-17,1224.04
INV00102,C052,2020-01-27,2020-02-24,4224.3
INV00103,C055,2020-02-02,2020-02-10,1269.79
INV00104,C057,2020-01-20,2020-03-01,8308.53
INV00105,C058,2020-01-12,2020-02-08,2280.58
INV00106,C058,2020-01-20,2020-02-12,3420.86
INV00107,C061,2020-01-31,2020-02-25,7253.69
INV00108,C063,2020-02-07,2020-03-13,5508.64
INV00109,C066,2019-12-31,2020-02-05,4902.82
INV00110,C068,2020-02-07,2020-02-23,6590.93
INV00111,C071,2020-01-29,2020-02-07,11450.96
INV00112,C073,2020-02-22,2020-03-02,5547.21
INV00113,C075,2020-01-04,2020-02-11,5079.94
INV00114,C077,2020-02-06,2020-03-16,3977.72
INV00115,C079,2020-02-03,2020-02-16,1949.16
INV00116,C079,2020-02-03,2020-02-20,2923.74
INV00117,C083,2020-01-07,2020-02-20,1526.26
INV00118,C083,2020-02-07,2020-02-24,2289.38
INV00119,C084,2020-01-26,2020-03-02,1380.07
INV00120,C091,2020-02-21,2020-03-03,10913.11
INV00121,C092,2020-03-02,2020-03-16,11776.83
INV00122,C094,2020-02-10,2020-03-09,4879.5
INV00123,C001,2020-03-06,2020-04-10,4958.43
INV00124,C002,2020-03-09,2020-04-13,562.2
INV00125,C003,2020-02-16,2020-03-14,2357.96
INV00126,C004,2020-02-23,2020-03-13,9198.36
INV00127,C005,2020-03-12,2020-03-31,5806.2
INV00128,C006,2020-03-09,2020-04-02,10245.03
INV00129,C007,2020-01-27,2020-03-06,1484.87
INV00130,C009,2020-03-01,2020-03-19,10536.64
INV00131,C010,2020-02-26,2020-03-06,6106.15
INV00132,C012,2020-02-26,2020-03-11,2857.76
INV00133,C012,2020-02-25,2020-03-15,4286.64
INV00134,C013,2020-03-23,2020-04-09,1201.16
INV00135,C015,2020-01-24,2020-03-09,987.92
INV00136,C015,2020-02-21,2020-03-13,1481.88
INV00137,C016,2020-03-09,2020-03-16,5308.95
INV00138,C016,2020-02-04,2020-03-20,7963.42
INV00139,C017,2020-02-21,2020-04-02,5325.17
INV00140,C018,2020-02-17,2020-03-19,7617.18
INV00141,C019,2020-03-11,2020-03-25,2588.12
INV00142,C019,2020-02-25,2020-03-29,3882.18
INV00143,C020,2020-03-04,2020-04-12,1009.92
INV00144,C020,2020-03-11,2020-04-16,1514.88
INV00145,C022,2020-02-25,2020-03-08,1546.73
INV00146,C025,2020-04-02,2020-04-14,1617.62
INV00147,C026,2020-03-04,2020-03-21,6448.74
INV00148,C027,2020-03-25,2020-04-04,5224.99
INV00149,C031,2020-03-07,2020-04-08,1047.39
INV00150,C033,2020-03-01,2020-03-25,12212.59
INV00151,C034,2020-02-12,2020-03-27,7992.91
INV00152,C036,2020-02-15,2020-03-16,2547.98
INV00153,C037,2020-03-13,2020-03-31,9004.73
INV00154,C039,2020-02-22,2020-04-05,3255.06
INV00155,C039,2020-03-03,2020-04-09,4882.59
INV00156,C040,2020-01-27,2020-03-10,4475.19
INV00157,C044,2020-03-12,2020-04-12,9066.2
INV00158,C045,2020-02-12,2020-03-24,402.36
INV00159,C045,2020-03-07,2020-03-28,603.53
INV00160,C048,2020-03-04,2020-03-14,5194.65
INV00161,C048,2020-03-11,2020-03-18,7791.97
INV00162,C049,2020-02-12,2020-03-12,13289.6
INV00163,C050,2020-03-19,2020-03-27,652.83
INV00164,C051,2020-01-30,2020-03-09,3383.41
INV00165,C054,2020-03-17,2020-03-27,4487.64
INV00166,C054,2020-03-18,2020-03-31,6731.45
INV00167,C055,2020-02-23,2020-04-07,501.15
INV00168,C060,2020-03-02,2020-03-09,772.68
