date,client_id,amount,type,category
2020-01-01,SELF,1200.0,expense,Rent
2020-01-15,SELF,11432.0,expense,
2020-02-11,C001,4778.94,income,Service
2020-02-14,C002,611.2,income,Service
2020-01-09,C003,943.96,income,Partial
2020-01-13,C003,1415.94,income,Partial
2020-01-24,C004,9425.9,income,UNKNOWN_ERROR
2020-01-11,C005,5888.4,income,Service
2020-01-30,C006,9994.56,income,Service
2020-01-30,C007,541.91,income,UNKNOWN_ERROR
2020-02-03,C007,812.86,income,Partial
2020-01-16,C008,8507.65,income,Service
2020-01-03,C009,10249.56,income,Service
2020-02-01,C010,5992.69,income,Service
2020-01-23,C011,1461.42,income,Partial
2020-01-27,C011,2192.13,income,Partial
2020-01-04,C013,1836.35,income,Service
2020-02-15,C014,5587.04,income,Service
2020-01-20,C015,4144.45,income,Service
2020-01-21,,4773.62,income,Service
2020-01-31,C018,8834.32,income,Service
2020-01-09,C019,5397.45,income,Partial
2020-01-13,C019,8096.18,income,Partial
2020-01-31,C020,1414.08,income,Service
2020-02-09,C021,8821.95,income,Service
2020-02-14,C023,8517.01,income,Service
2020-02-12,C024,6895.57,income,Service
2020-02-10,,1827.7,income,Service
2020-02-09,C026,5988.59,income,Service
2020-02-15,C029,3808.75,income,Service
2020-01-31,C030,3993.53,income,Service
2020-02-14,C032,4796.02,income,Service
2020-01-05,C033,2659.14,income,Partial
2020-01-09,C033,3988.71,income,Partial
2020-02-05,C035,10729.85,income,Service
2020-01-13,C036,3805.79,income,Service
2020-01-02,C037,6100.36,income,Service
2020-01-04,C039,13935.11,income,Service
2020-01-02,C042,10530.87,income,Service
2020-01-02,C042,10530.87,income,Service
2020-02-11,C043,5142.32,income,Service
2020-02-12,C045,1642.18,income,Service
2020-01-22,C046,8176.12,income,Service
2020-02-12,C049,4778.36,income,Partial
2020-02-16,C049,7167.54,income,Partial
2020-01-10,C053,3646.38,income,Service
2020-01-18,C054,4513.06,income,Partial
2020-01-22,C054,6769.59,income,Partial
2020-02-03,C059,3310.91,income,UNKNOWN_ERROR
2020-01-24,,5433.71,income,Service
2020-01-07,C062,7545.07,income,Service
2020-01-06,C063,6204.86,income,Service
2020-01-22,C064,1380.08,income,Service
2020-02-11,C072,16271.21,income,Service
2020-01-14,C073,6057.28,income,Service
2020-02-02,C074,6284.37,income,Service
2020-01-20,C075,3855.46,income,Service
2020-02-06,,2801.47,income,UNKNOWN_ERROR
2020-02-03,C078,1490.29,income,Service
2020-02-14,C079,4270.17,income,Partial
2020-02-18,C079,6405.25,income,Partial
2020-01-17,C081,9523.82,income,Service
2020-01-23,C082,15740.62,income,Service
2020-01-20,,10924.64,income,Service
2020-01-17,C087,331.06,income,Service
2020-01-12,C095,4575.67,income,Service
2020-01-05,C099,9638.42,income,Service
2020-02-01,SELF,1200.0,expense,Rent
2020-03-11,C001,4853.08,income,UNKNOWN_ERROR
2020-02-24,C002,575.72,income,Service
2020-02-06,C003,2178.38,income,Service
2020-03-17,C004,8950.26,income,Service
2020-02-12,C005,6178.58,income,Service
2020-03-03,C006,9793.28,income,Service
2020-03-07,C007,1435.42,income,UNKNOWN_ERROR
2020-02-26,C008,8159.45,income,Service
2020-03-07,C009,10490.37,income,Service
2020-03-06,,5920.43,income,Service
2020-02-11,C012,5379.02,income,Partial
2020-02-15,C012,8068.53,income,Partial
2020-02-24,C014,2508.21,income,Partial
2020-02-28,C014,3762.32,income,Partial
2020-03-14,C015,2197.56,income,Service
2020-02-27,C016,9423.56,income,Service
2020-02-25,C020,1315.14,income,Service
2020-03-15,,4306.18,income,Service
2020-02-28,C023,4964.88,income,Partial
2020-03-03,C023,7447.32,income,Partial
2020-02-29,C024,4040.75,income,Partial
2020-03-04,C024,6061.13,income,Partial
2020-02-28,C026,8408.17,income,UNKNOWN_ERROR
2020-03-12,C028,1936.53,income,Partial
2020-03-16,,2904.79,income,Partial
2020-02-28,C029,2321.73,income,Partial
2020-03-03,C029,3482.6,income,Partial
2020-02-09,C031,1396.38,income,Service
2020-02-24,C033,13457.46,income,UNKNOWN_ERROR
2020-02-24,C033,13457.46,income,UNKNOWN_ERROR
2020-03-11,C034,6960.06,income,Service
2020-02-22,C035,13329.84,income,Service
2020-02-14,C036,3553.54,income,UNKNOWN_ERROR
2020-03-03,C037,11617.93,income,Service
2020-02-28,C039,8582.3,income,Service
2020-02-06,C043,3547.61,income,Service
2020-03-02,C046,3191.42,income,Partial
2020-03-06,C046,4787.13,income,Partial
2020-03-02,C046,7978.54,income,UNKNOWN_ERROR
2020-03-01,C048,5442.95,income,Partial
2020-03-05,C048,8164.42,income,Partial
2020-02-17,C050,489.62,income,Partial
2020-02-21,C050,734.42,income,Partial
2020-02-17,C050,1224.04,income,Service
2020-02-24,C052,4224.3,income,Service
2020-02-10,C055,1269.79,income,Service
2020-03-01,C057,8308.53,income,Service
2020-02-08,C058,2280.58,income,Partial
2020-02-12,C058,3420.86,income,Partial
2020-02-25,C061,7253.69,income,Service
2020-03-13,C063,5508.64,income,Service
2020-02-05,C066,4902.82,income,Service
2020-02-23,C068,6590.93,income,UNKNOWN_ERROR
2020-02-07,C071,11450.96,income,Service
2020-03-02,C073,5547.21,income,Service
2020-02-11,C075,5079.94,income,Service
2020-03-16,C077,3977.72,income,Service
2020-02-16,C079,1949.16,income,Partial
2020-02-20,C079,2923.74,income,Partial
2020-02-20,C083,1526.26,income,Partial
2020-02-24,C083,2289.38,income,Partial
2020-03-02,C084,1380.07,income,Service
2020-03-03,C091,10913.11,income,Service
2020-03-16,C092,11776.83,income,Service
2020-03-09,C094,4879.5,income,Service
2020-03-01,SELF,1200.0,expense,UNKNOWN_ERROR
2020-04-10,C001,4958.43,income,Service
2020-04-13,C002,562.2,income,Service
2020-03-14,C003,2357.96,income,Service
2020-03-13,C004,9198.36,income,Service
2020-03-31,C005,5806.2,income,Service
2020-04-02,C006,10245.03,income,Service
2020-03-06,C007,1484.87,income,Service
2020-03-11,,8619.6,income,UNKNOWN_ERROR
2020-03-19,C009,10536.64,income,Service
2020-03-06,C010,6106.15,income,UNKNOWN_ERROR
2020-03-11,C012,2857.76,income,Partial
2020-03-15,C012,4286.64,income,Partial
2020-04-09,C013,1201.16,income,Service
